ticker,count,min,max,median,mean,std
SIMO,194,0.481,1.0,0.987,0.958,0.067
SINA,194,0.531,1.0,1.0,0.991,0.049
SINO,194,0.037,0.822,0.189,0.225,0.136
SINT,194,0.215,1.0,0.772,0.722,0.218
SIRI,194,0.569,1.0,1.0,0.993,0.043
SITM,115,0.164,1.0,0.696,0.661,0.176
SITO,146,0.063,0.924,0.367,0.408,0.221
SIVB,194,0.531,1.0,1.0,0.988,0.051
SIVBP,100,0.126,0.936,0.468,0.484,0.218
SKIS,22,0.556,1.0,0.708,0.744,0.126
SKOR,182,0.012,0.632,0.05,0.072,0.096
SKYS,194,0.012,0.721,0.177,0.202,0.122
SKYW,194,0.493,1.0,0.974,0.958,0.066
SKYY,194,0.455,1.0,0.98,0.96,0.064
SLAB,194,0.43,1.0,0.974,0.951,0.068
SLCT,194,0.025,0.911,0.284,0.321,0.167
SLDB,194,0.544,1.0,0.974,0.952,0.062
SLGG,194,0.227,1.0,0.556,0.575,0.186
SLGL,193,0.012,1.0,0.202,0.303,0.257
SLGN,194,0.518,1.0,1.0,0.983,0.051
SLIM,131,0.012,0.253,0.037,0.056,0.048
SLM,194,0.544,1.0,1.0,0.992,0.048
SLMBP,189,0.012,0.506,0.126,0.147,0.096
SLNG,22,0.037,0.62,0.202,0.219,0.132
SLNO,194,0.05,1.0,0.594,0.551,0.274
SLNOW,3,0.012,0.05,0.012,0.024,0.021
SLP,194,0.341,1.0,0.873,0.863,0.099
SLQD,194,0.354,1.0,0.841,0.823,0.132
SLRC,194,0.506,1.0,0.854,0.822,0.145
SLRX,194,0.088,1.0,0.481,0.507,0.245
SLS,194,0.594,1.0,0.962,0.929,0.087
SLVO,194,0.025,0.443,0.145,0.161,0.084
SMBC,194,0.05,0.746,0.227,0.247,0.115
SMBK,194,0.113,0.759,0.398,0.421,0.133
SMCI,80,0.772,1.0,0.974,0.95,0.056
SMCP,130,0.012,0.291,0.025,0.028,0.029
SMED,194,0.025,1.0,0.392,0.485,0.332
SMH,102,0.594,1.0,1.0,0.993,0.044
SMIT,190,0.012,0.949,0.126,0.186,0.191
SMMC,110,0.012,0.493,0.037,0.048,0.06
SMMCU,127,0.012,0.164,0.025,0.032,0.024
SMMCW,42,0.012,0.101,0.012,0.028,0.026
SMMF,194,0.037,0.708,0.215,0.233,0.118
SMMT,194,0.05,1.0,0.265,0.357,0.251
SMPL,194,0.544,1.0,1.0,0.991,0.049
SMRT,194,0.202,1.0,0.518,0.574,0.22
SMSI,194,0.481,1.0,0.987,0.972,0.058
SMTC,194,0.556,1.0,1.0,0.987,0.048
SMTX,194,0.139,0.987,0.443,0.461,0.169
SNBR,194,0.518,1.0,1.0,0.987,0.051
SNCA,129,0.215,1.0,0.708,0.715,0.197
SNCR,194,0.43,1.0,0.987,0.962,0.065
SND,194,0.468,1.0,0.924,0.91,0.079
SNDE,194,0.025,1.0,0.189,0.287,0.236
SNDL,194,0.544,1.0,0.987,0.969,0.064
SNDX,194,0.455,1.0,0.841,0.827,0.117
SNES,194,0.075,1.0,0.481,0.488,0.189
SNFCA,191,0.012,0.683,0.139,0.166,0.129
SNGX,194,0.113,1.0,0.651,0.624,0.275
SNGXW,70,0.012,0.24,0.025,0.042,0.041
SNH,85,0.556,1.0,1.0,0.993,0.049
SNHNI,85,0.151,0.898,0.341,0.36,0.137
SNHNL,85,0.101,0.835,0.303,0.322,0.129
SNLN,194,0.164,0.949,0.411,0.446,0.172
SNNA,85,0.341,1.0,0.873,0.803,0.205
SNOA,188,0.012,0.797,0.164,0.191,0.137
SNOAW,60,0.012,0.329,0.037,0.056,0.06
SNPS,194,0.556,1.0,1.0,0.993,0.047
SNSR,194,0.164,1.0,0.594,0.595,0.189
SNSS,194,0.493,1.0,0.974,0.939,0.085
SNUG,36,0.012,0.265,0.025,0.055,0.062
SNY,194,0.544,1.0,1.0,0.992,0.048
SOCL,194,0.075,0.784,0.291,0.319,0.133
SOHO,194,0.164,1.0,0.417,0.501,0.231
SOHOB,184,0.012,0.544,0.063,0.111,0.115
SOHON,189,0.012,0.645,0.075,0.12,0.109
SOHOO,182,0.012,0.658,0.075,0.121,0.125
SOHU,194,0.493,1.0,0.987,0.966,0.057
SOLO,194,0.316,1.0,0.759,0.769,0.133
SOLOW,174,0.012,0.253,0.05,0.064,0.049
SOLY,194,0.379,1.0,0.86,0.843,0.131
SONA,194,0.189,0.962,0.607,0.613,0.169
SONG,162,0.012,1.0,0.265,0.359,0.244
SONGW,123,0.012,0.506,0.037,0.067,0.082
SONM,194,0.126,1.0,0.708,0.669,0.224
SONN,25,0.658,1.0,1.0,0.969,0.085
SONO,194,0.544,1.0,1.0,0.992,0.048
SORL,194,0.05,0.936,0.379,0.386,0.182
SOXX,194,0.544,1.0,1.0,0.989,0.048
SP,194,0.392,1.0,0.803,0.801,0.123
SPAR,194,0.518,1.0,0.974,0.955,0.063
SPCB,194,0.037,1.0,0.253,0.391,0.313
SPEX,146,0.037,1.0,0.227,0.278,0.188
SPFI,194,0.012,0.911,0.253,0.292,0.192
