ticker,timestamp,open,high,low,close,volume,day,minute,day_timestamp,is_weeks_first,is_weeks_end
AAOI,01-Aug-2019 09:30,10.02,10.13,10.0112,10.07,2620,18109,0,2019-08-01,False,False
AAOI,01-Aug-2019 09:35,10.1,10.11,10.01,10.08,3400,18109,5,2019-08-01,False,False
AAOI,01-Aug-2019 09:40,10.0302,10.09,10.01,10.01,9327,18109,10,2019-08-01,False,False
AAOI,01-Aug-2019 09:45,10.0,10.065,10.0,10.065,1400,18109,15,2019-08-01,False,False
AAOI,01-Aug-2019 09:50,10.14,10.2,10.127,10.127,7291,18109,20,2019-08-01,False,False
AAOI,01-Aug-2019 09:55,10.17,10.17,10.14,10.14,1800,18109,25,2019-08-01,False,False
AAOI,01-Aug-2019 10:00,10.155,10.155,10.05,10.05,5700,18109,30,2019-08-01,False,False
AAOI,01-Aug-2019 10:05,10.075,10.075,10.01,10.05,3451,18109,35,2019-08-01,False,False
AAOI,01-Aug-2019 10:10,10.05,10.05,10.0,10.0,2300,18109,40,2019-08-01,False,False
AAOI,01-Aug-2019 10:15,9.995,10.05,9.995,10.05,1300,18109,45,2019-08-01,False,False
AAOI,01-Aug-2019 10:20,10.0139,10.1,10.0,10.08,12050,18109,50,2019-08-01,False,False
AAOI,01-Aug-2019 10:25,10.07,10.13,10.05,10.1,1600,18109,55,2019-08-01,False,False
AAOI,01-Aug-2019 10:30,10.0889,10.1,10.067,10.067,5800,18109,60,2019-08-01,False,False
AAOI,01-Aug-2019 10:35,10.075,10.075,10.04,10.05,3500,18109,65,2019-08-01,False,False
AAOI,01-Aug-2019 10:40,10.06,10.07,10.05,10.05,700,18109,70,2019-08-01,False,False
AAOI,01-Aug-2019 10:45,10.07,10.07,10.05,10.0501,3614,18109,75,2019-08-01,False,False
AAOI,01-Aug-2019 10:50,10.07,10.13,10.0613,10.11,6881,18109,80,2019-08-01,False,False
AAOI,01-Aug-2019 10:55,10.27,10.27,10.18,10.22,13149,18109,85,2019-08-01,False,False
AAOI,01-Aug-2019 11:00,10.2,10.25,10.2,10.22,1000,18109,90,2019-08-01,False,False
AAOI,01-Aug-2019 11:05,10.214,10.214,10.15,10.19,17221,18109,95,2019-08-01,False,False
AAOI,01-Aug-2019 11:10,10.17,10.23,10.17,10.225,2800,18109,100,2019-08-01,False,False
AAOI,01-Aug-2019 11:15,10.23,10.24,10.19,10.2,1742,18109,105,2019-08-01,False,False
AAOI,01-Aug-2019 11:20,10.21,10.22,10.2,10.22,1400,18109,110,2019-08-01,False,False
AAOI,01-Aug-2019 11:25,10.2,10.23,10.17,10.225,7029,18109,115,2019-08-01,False,False
AAOI,01-Aug-2019 11:30,10.22,10.22,10.16,10.17,2217,18109,120,2019-08-01,False,False
AAOI,01-Aug-2019 11:35,10.15,10.17,10.14,10.17,1100,18109,125,2019-08-01,False,False
AAOI,01-Aug-2019 11:40,10.16,10.19,10.16,10.19,2000,18109,130,2019-08-01,False,False
AAOI,01-Aug-2019 11:45,10.1601,10.19,10.16,10.19,500,18109,135,2019-08-01,False,False
AAOI,01-Aug-2019 11:50,10.24,10.24,10.2,10.2,1600,18109,140,2019-08-01,False,False
AAOI,01-Aug-2019 11:55,10.21,10.21,10.205,10.205,200,18109,145,2019-08-01,False,False
AAOI,01-Aug-2019 12:00,10.17,10.19,10.17,10.17,1000,18109,150,2019-08-01,False,False
AAOI,01-Aug-2019 12:05,10.17,10.17,10.15,10.16,1894,18109,155,2019-08-01,False,False
AAOI,01-Aug-2019 12:10,10.15,10.195,10.15,10.195,2000,18109,160,2019-08-01,False,False
AAOI,01-Aug-2019 12:15,10.21,10.21,10.17,10.19,1900,18109,165,2019-08-01,False,False
AAOI,01-Aug-2019 12:20,10.1869,10.1869,10.17,10.17,1100,18109,170,2019-08-01,False,False
AAOI,01-Aug-2019 12:25,10.19,10.19,10.18,10.19,1700,18109,175,2019-08-01,False,False
AAOI,01-Aug-2019 12:30,10.2,10.2,10.2,10.2,100,18109,180,2019-08-01,False,False
AAOI,01-Aug-2019 12:35,10.2,10.2,10.17,10.17,8222,18109,185,2019-08-01,False,False
AAOI,01-Aug-2019 12:40,10.1735,10.18,10.17,10.18,1417,18109,190,2019-08-01,False,False
AAOI,01-Aug-2019 12:45,10.22,10.22,10.18,10.18,2450,18109,195,2019-08-01,False,False
AAOI,01-Aug-2019 12:50,10.2,10.2,10.2,10.2,500,18109,200,2019-08-01,False,False
